teamID,yearID,total_payroll,winning_pct,franchID,W,G
NYN,1994,30956583,48.67256637,NYM,55,113
PHI,1994,31599000,46.95652174,PHI,54,115
PIT,1994,24217250,46.49122807,PIT,53,114
SDN,1994,14916333,40.17094017,SDP,47,117
SFN,1994,42638666,47.82608696,SFG,55,115
SLN,1994,29275601,46.08695652,STL,53,115
BAL,1995,43942521,49.30555556,BAL,71,144
BOS,1995,32455518,59.72222222,BOS,86,144
CAL,1995,31223171,53.79310345,ANA,78,145
CHA,1995,46961282,46.89655172,CHW,68,145
CLE,1995,37937835,69.44444444,CLE,100,144
DET,1995,37044168,41.66666667,DET,60,144
KCA,1995,29532834,48.61111111,KCR,70,144
MIN,1995,25410500,38.88888889,MIN,56,144
ML4,1995,17798825,45.13888889,MIL,65,144
NYA,1995,48874851,54.48275862,NYY,79,145
OAK,1995,37739225,46.52777778,OAK,67,144
SEA,1995,36481311,54.48275862,SEA,79,145
TEX,1995,34581451,51.38888889,TEX,74,144
TOR,1995,50590000,38.88888889,TOR,56,144
ATL,1995,47235445,62.5,ATL,90,144
CHN,1995,29505834,50.69444444,CHC,73,144
CIN,1995,43144670,59.02777778,CIN,85,144
COL,1995,34154717,53.47222222,COL,77,144
FLO,1995,24515781,46.85314685,FLA,67,143
HOU,1995,34169834,52.77777778,HOU,76,144
LAN,1995,39273201,54.16666667,LAD,78,144
MON,1995,12364000,45.83333333,WSN,66,144
NYN,1995,27674992,47.91666667,NYM,69,144
PHI,1995,30555945,47.91666667,PHI,69,144
PIT,1995,18355345,40.27777778,PIT,58,144
SDN,1995,26382334,48.61111111,SDP,70,144
SFN,1995,36462777,46.52777778,SFG,67,144
SLN,1995,37101000,43.35664336,STL,62,143
BAL,1996,54490315,53.98773006,BAL,88,163
BOS,1996,42393500,52.4691358,BOS,85,162
CAL,1996,28738000,43.47826087,ANA,70,161
CHA,1996,45139500,52.4691358,CHW,85,162
CLE,1996,48107360,61.49068323,CLE,99,161
DET,1996,23438000,32.71604938,DET,53,162
KCA,1996,20281250,46.58385093,KCR,75,161
MIN,1996,23117000,48.14814815,MIN,78,162
ML4,1996,21730000,49.38271605,MIL,80,162
NYA,1996,54191792,56.79012346,NYY,92,162
OAK,1996,21243000,48.14814815,OAK,78,162
SEA,1996,41328501,52.79503106,SEA,85,161
TEX,1996,39041528,55.21472393,TEX,90,163
TOR,1996,29555083,45.67901235,TOR,74,162
ATL,1996,49698500,59.25925926,ATL,96,162
CHN,1996,33081000,46.91358025,CHC,76,162
CIN,1996,42526334,50,CIN,81,162
COL,1996,40179823,51.2345679,COL,83,162
FLO,1996,31022500,49.38271605,FLA,80,162
HOU,1996,28487000,50.61728395,HOU,82,162
LAN,1996,35355000,55.55555556,LAD,90,162
MON,1996,16264500,54.32098765,WSN,88,162
NYN,1996,24479500,43.82716049,NYM,71,162
PHI,1996,34314500,41.35802469,PHI,67,162
PIT,1996,23017500,45.0617284,PIT,73,162
